ticket_key,snapshot_id,event_id,game,tip_et,player,market,recommended_side,point,tier,selected_book,selected_price_american,play_to_american,model_p_hit,best_ev,actual_stat_value,result,graded_price_american,stake_units,pnl_units,graded_at_utc,grading_notes
f4dfda9d0ad0e5dd,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Sandro Mamukelashvili,player_points_rebounds_assists,over,20.5,A,fanduel,-113,-166,0.6430058838394475,0.212038,,,,,,,
ff735ebc54eef8ee,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Mikal Bridges,player_rebounds,over,3.5,A,draftkings,-111,-162,0.6365941161605526,0.210102,,,,,,,
8601b7060da7a498,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Brandon Miller,player_points,over,22.5,B,draftkings,-122,-173,0.664791059602649,0.209702,,,,,,,
c84548a80e3c5a2b,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Kyshawn George,player_assists,over,4.5,A,draftkings,115,-120,0.5626077711056163,0.209607,,,,,,,
d5b6ae822ccf5e2a,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Dennis Schroder,player_rebounds,over,2.5,B,draftkings,134,103,0.5167764499222485,0.209257,,,,,,,
4d539b409953a52a,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Sion James,player_points,over,5.5,A,draftkings,-128,-193,0.6786041433738901,0.208764,,,,,,,
d17c687a6433788a,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Ja'Kobe Walter,player_points,over,6.5,A,fanduel,-102,-145,0.6102358742837298,0.208506,,,,,,,
c52f24c8c1cf2d0c,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,R.J. Barrett,player_points_rebounds_assists,over,26.5,B,fanduel,-113,-157,0.6409,0.208068,,,,,,,
8e56bf3cb4c49271,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Ryan Kalkbrenner,player_points,over,8.5,B,draftkings,-126,-179,0.673159461704602,0.207413,,,,,,,
71c7aabab2b44996,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Brandon Miller,player_assists,over,3.5,A,draftkings,-132,-200,0.6869282848091718,0.207329,,,,,,,
